team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Dandandania,f,28,29,Billing,0,Kulusevski,2,-2
Bald is Best,w,28,29,Eze,0,Richarlison,1,-1
Walid Sb,w,28,29,Mepham,0,Cash,1,-1
Lulla XI,w,28,29,Udogie,1,Emerson,2,-1
Masala Pan FC,w,28,29,Schär,0,Zinchenko,0,0
Dandandania,w,28,29,Smith,0,Senesi,0,0
Lulla XI,w,28,29,Gusto,0,Dunk,0,0
Lulla XI,w,28,29,Mateta,0,Gakpo,0,0
Lulla XI,w,28,29,Bell,0,Akanji,0,0
Bald is Best,w,28,29,Kerkez,0,Stones,0,0
Walid Sb,w,28,29,Tavernier,0,Neto,0,0
Lulla XI,f,28,29,Petrović,0,José Sá,0,0
Masala Pan FC,w,28,29,Bernardo,0,Rodrigo,0,0
Masala Pan FC,f,28,29,Kluivert,0,Bernardo,0,0
Walid Sb,f,28,29,Zouma,2,Romero,1,1
Masala Pan FC,w,28,29,Hudson-Odoi,1,Hee Chan,0,1
Masala Pan FC,w,28,29,Wissa,2,Raúl,1,1
Masala Pan FC,w,28,29,Werner,1,Ferguson,0,1
Dandandania,w,28,29,Barkley,2,J.Ayew,0,2
Masala Pan FC,f,28,29,Coufal,7,Mykolenko,0,7
