team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Lulla XI,w,27,28,Emerson,0,Kilman,2,-2
Lulli XI,w,27,28,Sterling,1,Trossard,2,-1
Lulla XI,f,27,28,Ogbene,7,Mateta,8,-1
Lulla XI,w,27,28,Gakpo,1,Welbeck,1,0
Walid Sb,w,27,28,Doughty,5,Mitchell,3,2
Lulla XI,w,27,28,Vicario,6,Dubravka,2,4
Walid Sb,f,27,28,L.Paquetá,6,Sarabia,2,4
Dandandania,w,27,28,Morris,4,Amdouni,0,4
Walid Sb,w,27,28,Romero,8,N.Semedo,4,4
Lulla XI,w,27,28,Havertz,7,Hudson-Odoi,1,6
Lulli XI,w,27,28,Pedro Porro,7,Chilwell,0,7
Lulli XI,w,27,28,N.Jackson,8,Antonio,1,7
Lulli XI,w,27,28,Zabarnyi,8,Pau,0,8
Walid Sb,w,27,28,Semenyo,15,Calvert-Lewin,1,14
