team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Dandandania,w,26,27,Senesi,1,Konaté,8,-7
Walid Sb,w,26,27,Calvert-Lewin,1,Morris,8,-7
Lulli XI,w,26,27,Pau,0,Botman,6,-6
Lulla XI,w,26,27,Dunk,0,Doughty,5,-5
Walid Sb,w,26,27,N.Semedo,1,Reguilón,4,-3
Lulla XI,w,26,27,Welbeck,0,Ogbene,2,-2
Lulli XI,w,26,27,Antonio,0,Maupay,1,-1
Dandandania,w,26,27,Kulusevski,2,Andreas,3,-1
Dandandania,w,26,27,Sterling,1,Barkley,2,-1
Bald is Best,w,26,27,Johnstone,1,Vicario,2,-1
Walid Sb,w,26,27,Neto,8,Kelleher,9,-1
Lulli XI,w,26,27,Adingra,1,Doku,1,0
Bald is Best,w,26,27,Awoniyi,1,Nkunku,0,1
Dandandania,f,26,27,Amdouni,1,Adebayo,0,1
Walid Sb,w,26,27,Mitchell,1,Estupiñan,0,1
Dandandania,f,26,27,J.Ayew,3,Sterling,1,2
Lulla XI,w,26,27,Hudson-Odoi,2,Diogo J.,0,2
Lulla XI,w,26,27,Mateta,2,Cunha,0,2
Walid Sb,f,26,27,Sarabia,2,Mitoma,0,2
Lulli XI,w,26,27,Douglas Luiz,4,Jones,0,4
Bald is Best,f,26,27,Areola,13,A.Becker,0,13
